"M","#N_rows","K","N. FLOPS","GPU [No A Transf]","GPU [With A Transf]","CPU - 1 Core",,,"#Batches","Batch Size","#N_rows"
4096,2224,4096,111937585152,0.9563521000,1.0076657000,6.7988808000,,,139,16,2224
4096,2240,4096,112742891520,0.9612468000,1.0125376000,6.8443990000,,,140,16,2240
4096,2256,4096,113548197888,0.9692536000,1.0204906000,6.9128851000,,,141,16,2256
4096,2272,4096,114353504256,0.9744350000,1.0256841000,6.9412934000,,,142,16,2272
4096,2288,4096,115158810624,0.9845133000,1.0357535000,7.0014069000,,,143,16,2288
4096,2304,4096,115964116992,0.9913527000,1.0426170000,7.0394719000,,,144,16,2304
4096,2320,4096,116769423360,0.9980818000,1.0494341000,7.0906677000,,,145,16,2320
4096,2336,4096,117574729728,1.0027281000,1.0538384000,7.1366441000,,,146,16,2336
4096,2352,4096,118380036096,1.0100965000,1.0613652000,7.1882709000,,,147,16,2352
4096,2368,4096,119185342464,1.0157683000,1.0668743000,7.2381559000,,,148,16,2368
4096,2384,4096,119990648832,1.0238023000,1.0749628000,7.2836121000,,,149,16,2384
4096,2400,4096,120795955200,1.0291378000,1.0802212000,7.3328545000,,,150,16,2400
4096,2416,4096,121601261568,1.0380835000,1.0892549000,7.3809624000,,,151,16,2416
4096,2432,4096,122406567936,1.0458499000,1.0970362000,7.4300892000,,,152,16,2432
4096,2448,4096,123211874304,1.0513786000,1.1025579000,7.4795340000,,,153,16,2448
4096,2464,4096,124017180672,1.0589215000,1.1099994000,7.5274324000,,,154,16,2464
4096,2480,4096,124822487040,1.0641419000,1.1151551000,7.5788034000,,,155,16,2480
4096,2496,4096,125627793408,1.0719767000,1.1230491000,7.6299511000,,,156,16,2496
4096,2512,4096,126433099776,1.0772738000,1.1283575000,7.6914874000,,,157,16,2512
4096,2528,4096,127238406144,1.0867458000,1.1378615000,7.7296168000,,,158,16,2528
4096,2544,4096,128043712512,1.0928941000,1.1438156000,7.7718090000,,,159,16,2544
4096,2560,4096,128849018880,1.0996724000,1.1506831000,7.8359014000,,,160,16,2560
4096,2576,4096,129654325248,1.1054316000,1.1565469000,7.8693869000,,,161,16,2576
4096,2592,4096,130459631616,1.1142459000,1.1652030000,7.9187310000,,,162,16,2592
4096,2608,4096,131264937984,1.1192993000,1.1704056000,7.9774951000,,,163,16,2608
4096,2624,4096,132070244352,1.1253458000,1.1763335000,8.0168511000,,,164,16,2624
4096,2640,4096,132875550720,1.1314210000,1.1823840000,8.0644927000,,,165,16,2640
4096,2656,4096,133680857088,1.1407749000,1.1917643000,8.1188707000,,,166,16,2656
4096,2672,4096,134486163456,1.1481986000,1.1992516000,8.1817902000,,,167,16,2672
4096,2688,4096,135291469824,1.1536159000,1.2047009000,8.2144261000,,,168,16,2688
4096,2704,4096,136096776192,1.1615856000,1.2124978000,8.2746112000,,,169,16,2704
4096,2720,4096,136902082560,1.1668301000,1.2178154000,8.3211670000,,,170,16,2720
4096,2736,4096,137707388928,1.1744484000,1.2255831000,8.3704908000,,,171,16,2736
4096,2752,4096,138512695296,1.1799252000,1.2308359000,8.4095495000,,,172,16,2752
4096,2768,4096,139318001664,1.1892407000,1.2402578000,8.5084867000,,,173,16,2768
4096,2784,4096,140123308032,1.1950068000,1.2463612000,8.5134254000,,,174,16,2784
4096,2800,4096,140928614400,1.2034494000,1.2545383000,8.5537594000,,,175,16,2800
4096,2816,4096,141733920768,1.2086702000,1.2596608000,8.6152135000,,,176,16,2816
4096,2832,4096,142539227136,1.2151751000,1.2662225000,8.6802984000,,,177,16,2832
4096,2848,4096,143344533504,1.2214708000,1.2724941000,8.6997349000,,,178,16,2848
4096,2864,4096,144149839872,1.2285087000,1.2794057000,8.7488350000,,,179,16,2864
4096,2880,4096,144955146240,1.2344277000,1.2854229000,8.8241812000,,,180,16,2880
4096,2896,4096,145760452608,1.2438885000,1.2948584000,8.8641417000,,,181,16,2896
4096,2912,4096,146565758976,1.2515970000,1.3026025000,8.8980788000,,,182,16,2912
4096,2928,4096,147371065344,1.2570520000,1.3080388000,8.9447182000,,,183,16,2928
4096,2944,4096,148176371712,1.2643784000,1.3153726000,8.9942377000,,,184,16,2944
4096,2960,4096,148981678080,1.2706326000,1.3216728000,9.0604350000,,,185,16,2960
4096,2976,4096,149786984448,1.2771879000,1.3280853000,9.0917356000,,,186,16,2976
4096,2992,4096,150592290816,1.2824197000,1.3334192000,9.1404745000,,,187,16,2992
4096,3008,4096,151397597184,1.2916572000,1.3427312000,9.1883862000,,,188,16,3008
4096,3024,4096,152202903552,1.2980015000,1.3491474000,9.2595300000,,,189,16,3024
4096,3040,4096,153008209920,1.3048260000,1.3560585000,9.2927731000,,,190,16,3040
4096,3056,4096,153813516288,1.3107825000,1.3619748000,9.3398525000,,,191,16,3056
4096,3072,4096,154618822656,1.3179093000,1.3687243000,9.4105342000,,,192,16,3072
4096,3088,4096,155424129024,1.3240376000,1.3749563000,9.4322217000,,,193,16,3088
4096,3104,4096,156229435392,1.3306286000,1.3815472000,9.4820575000,,,194,16,3104
4096,3120,4096,157034741760,1.3367245000,1.3874199000,9.5297887000,,,195,16,3120
4096,3136,4096,157840048128,1.3458534000,1.3966316000,9.5849363000,,,196,16,3136
4096,3152,4096,158645354496,1.3534837000,1.4042931000,9.6332418000,,,197,16,3152
4096,3168,4096,159450660864,1.3590446000,1.4098395000,9.7036404000,,,198,16,3168
4096,3184,4096,160255967232,1.3671208000,1.4179215000,9.7368524000,,,199,16,3184
4096,3200,4096,161061273600,1.3722495000,1.4229306000,9.7893428000,,,200,16,3200
4096,3216,4096,161866579968,1.3799357000,1.4307592000,9.8378105000,,,201,16,3216
4096,3232,4096,162671886336,1.3853301000,1.4362181000,9.8843781000,,,202,16,3232
4096,3248,4096,163477192704,1.3949116000,1.4457433000,9.9332699000,,,203,16,3248
4096,3264,4096,164282499072,1.4009715000,1.4516521000,9.9811555000,,,204,16,3264
4096,3280,4096,165087805440,1.4077200000,1.4584387000,10.0438591000,,,205,16,3280
4096,3296,4096,165893111808,1.4137693000,1.4644884000,10.0667524000,,,206,16,3296
4096,3312,4096,166698418176,1.4206199000,1.4716721000,10.1230989000,,,207,16,3312
4096,3328,4096,167503724544,1.4267513000,1.4774486000,10.1707603000,,,208,16,3328
4096,3344,4096,168309030912,1.4342233000,1.4850265000,10.2134968000,,,209,16,3344
4096,3360,4096,169114337280,1.4398097000,1.4907792000,10.2615787000,,,210,16,3360
4096,3376,4096,169919643648,1.4492639000,1.5000406000,10.3109398000,,,211,16,3376
4096,3392,4096,170724950016,1.4567086000,1.5080195000,10.3704799000,,,212,16,3392
4096,3408,4096,171530256384,1.4619800000,1.5126813000,10.4077653000,,,213,16,3408
4096,3424,4096,172335562752,1.4696608000,1.5205409000,10.4565014000,,,214,16,3424
4096,3440,4096,173140869120,1.4754931000,1.5264198000,10.5602217000,,,215,16,3440
4096,3456,4096,173946175488,1.4827828000,1.5335735000,10.5698343000,,,216,16,3456
4096,3472,4096,174751481856,1.4883015000,1.5390331000,10.6138451000,,,217,16,3472
4096,3488,4096,175556788224,1.4976846000,1.5484996000,10.6571507000,,,218,16,3488
4096,3504,4096,176362094592,1.5038106000,1.5545992000,10.7392874000,,,219,16,3504
4096,3520,4096,177167400960,1.5105479000,1.5612610000,10.7510137000,,,220,16,3520
4096,3536,4096,177972707328,1.5161355000,1.5669024000,10.8119289000,,,221,16,3536
4096,3552,4096,178778013696,1.5241487000,1.5747986000,10.8594928000,,,222,16,3552
4096,3568,4096,179583320064,1.5295915000,1.5804064000,10.8996794000,,,223,16,3568
4096,3584,4096,180388626432,1.5369388000,1.5876239000,10.9922002000,,,224,16,3584
4096,3600,4096,181193932800,1.5394913000,1.5903391000,10.9993931000,,,225,16,3600
4096,3616,4096,181999239168,1.5494282000,1.5999972000,11.0499059000,,,226,16,3616
4096,3632,4096,182804545536,1.5570848000,1.6077936000,11.1060653000,,,227,16,3632
4096,3648,4096,183609851904,1.5620967000,1.6129668000,11.1410670000,,,228,16,3648
4096,3664,4096,184415158272,1.5702095000,1.6210573000,11.2590418000,,,229,16,3664
4096,3680,4096,185220464640,1.5752989000,1.6260265000,11.2874635000,,,230,16,3680
4096,3696,4096,186025771008,1.5830240000,1.6338725000,11.3681908000,,,231,16,3696
4096,3712,4096,186831077376,1.5884537000,1.6392089000,11.4085741000,,,232,16,3712
4096,3728,4096,187636383744,1.5981836000,1.6489441000,11.4090576000,,,233,16,3728
4096,3744,4096,188441690112,1.6037763000,1.6545222000,11.4482980000,,,234,16,3744
4096,3760,4096,189246996480,1.6110301000,1.6618791000,11.4802256000,,,235,16,3760
4096,3776,4096,190052302848,1.6168723000,1.6678685000,11.5364120000,,,236,16,3776
4096,3792,4096,190857609216,1.6242425000,1.6752774000,11.5791452000,,,237,16,3792
4096,3808,4096,191662915584,1.6298539000,1.6807491000,11.6560994000,,,238,16,3808
4096,3824,4096,192468221952,1.6372338000,1.6881482000,11.7697475000,,,239,16,3824
4096,3840,4096,193273528320,1.6431803000,1.6940406000,11.7903141000,,,240,16,3840
4096,3856,4096,194078834688,1.6521565000,1.7032569000,11.7812511000,,,241,16,3856
4096,3872,4096,194884141056,1.6599432000,1.7111593000,11.8920068000,,,242,16,3872
4096,3888,4096,195689447424,1.6655424000,1.7167227000,11.9712105000,,,243,16,3888
4096,3904,4096,196494753792,1.6732686000,1.7245292000,11.9804210000,,,244,16,3904
4096,3920,4096,197300060160,1.6788570000,1.7300981000,11.9738786000,,,245,16,3920
4096,3936,4096,198105366528,1.6866934000,1.7381654000,12.0193092000,,,246,16,3936
4096,3952,4096,198910672896,1.6920789000,1.7436092000,12.0692984000,,,247,16,3952
4096,3968,4096,199715979264,1.7021287000,1.7537552000,12.2158516000,,,248,16,3968
4096,3984,4096,200521285632,1.7080021000,1.7595501000,12.1682218000,,,249,16,3984
4096,4000,4096,201326592000,1.7154221000,1.7675474000,12.3159698000,,,250,16,4000
4096,4016,4096,202131898368,1.7221499000,1.7743961000,12.3417473000,,,251,16,4016
4096,4032,4096,202937204736,1.7302684000,1.7826853000,12.4326100000,,,252,16,4032
4096,4048,4096,203742511104,1.7373538000,1.7907036000,12.3656173000,,,253,16,4048
4096,4064,4096,204547817472,1.7454327000,1.7995587000,12.5237711000,,,254,16,4064
4096,4080,4096,205353123840,1.7480889000,1.8047280000,12.5309981000,,,255,16,4080
4096,4096,4096,206158430208,,,,,,256,16,4096
