"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,,,,,5000,1,62,1.278737,,,,,,,,,,,,,,,
,,,,,5000,1,62,1.289760,,,,,,,,,,,,,,,
,,,,,5000,1,63,1.216526,,,,,,,,,,,,,,,
,,,,,5000,1,63,1.213069,,,,,,,,,,,,,,,
,,,,,5000,1,64,1.238696,,,,,,,,,,,,,,,
,,,,,5000,1,64,1.190188,,,,,,,,,,,,,,,
,,,,,5000,1,65,1.450620,,,,,,,,,,,,,,,
,,,,,5000,1,65,1.408429,,,,,,,,,,,,,,,
,,,,,5000,1,66,1.359672,,,,,,,,,,,,,,,
,,,,,5000,1,66,1.335280,,,,,,,,,,,,,,,
,,,,,5000,1,67,1.304730,,,,,,,,,,,,,,,
,,,,,5000,1,67,1.282030,,,,,,,,,,,,,,,
,,,,,5000,1,68,1.337453,,,,,,,,,,,,,,,
,,,,,5000,1,68,1.286184,,,,,,,,,,,,,,,
,,,,,5000,1,69,1.302834,,,,,,,,,,,,,,,
,,,,,5000,1,69,1.281075,,,,,,,,,,,,,,,
,,,,,5000,1,70,1.328532,,,,,,,,,,,,,,,
,,,,,5000,1,70,1.320484,,,,,,,,,,,,,,,
,,,,,5000,1,71,1.380056,,,,,,,,,,,,,,,
,,,,,5000,1,71,1.371858,,,,,,,,,,,,,,,
,,,,,5000,1,72,1.403896,,,,,,,,,,,,,,,
,,,,,5000,1,72,1.388715,,,,,,,,,,,,,,,
,,,,,5000,1,73,1.305860,,,,,,,,,,,,,,,
,,,,,5000,1,73,1.297477,,,,,,,,,,,,,,,
,,,,,5000,1,74,1.322228,,,,,,,,,,,,,,,
,,,,,5000,1,74,1.327547,,,,,,,,,,,,,,,
