"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,500,4,0.01,,250,1,66,0.003160,,250,1,66,0.00,,250,8,3,0.00,,250,8,3,0.00
,500,5,0.01,,250,1,67,0.005968,,250,1,67,0.01,,250,8,4,0.00,,250,8,4,0.00
,500,6,0.01,,250,1,67,0.003243,,250,1,67,0.00,,250,8,4,0.00,,250,8,4,0.00
,500,7,0.01,,250,1,68,0.006045,,250,1,68,0.01,,250,8,5,0.00,,250,8,5,0.00
,500,8,0.01,,250,1,68,0.003266,,250,1,68,0.00,,250,8,5,0.00,,250,8,5,0.00
,500,9,0.01,,250,1,69,0.006380,,250,1,69,0.01,,250,8,6,0.00,,250,8,6,0.00
,500,10,0.01,,250,1,69,0.003480,,250,1,69,0.00,,250,8,6,0.00,,250,8,6,0.00
,500,11,0.01,,250,1,70,0.006516,,250,1,70,0.01,,250,8,7,0.00,,250,8,7,0.00
,500,12,0.01,,250,1,70,0.003384,,250,1,70,0.00,,250,8,7,0.00,,250,8,7,0.00
,500,13,0.00,,250,1,71,0.006641,,250,1,71,0.01,,250,8,8,0.00,,250,8,8,0.00
,500,14,0.01,,250,1,71,0.003378,,250,1,71,0.00,,250,8,8,0.00,,250,8,8,0.00
,500,15,0.00,,250,1,72,0.006630,,250,1,72,0.01,,250,9,4,0.00,,250,9,4,0.00
,500,16,0.00,,250,1,72,0.003493,,250,1,72,0.00,,250,9,4,0.00,,250,9,4,0.00
,500,17,0.00,,250,1,73,0.006722,,250,1,73,0.01,,250,10,2,0.00,,250,10,2,0.00
,500,18,0.00,,250,1,73,0.003450,,250,1,73,0.00,,250,10,2,0.00,,250,10,2,0.00
,500,19,0.00,,250,1,74,0.006921,,250,1,74,0.01,,250,10,4,0.00,,250,10,4,0.00
,500,20,0.00,,250,1,74,0.003617,,250,1,74,0.00,,250,10,4,0.00,,250,10,4,0.00
,500,21,0.01,,250,1,75,0.007070,,250,1,75,0.01,,250,10,6,0.00,,250,10,6,0.00
,500,22,0.01,,250,1,75,0.003522,,250,1,75,0.00,,250,10,6,0.00,,250,10,6,0.00
,500,23,0.01,,250,1,76,0.007273,,250,1,76,0.01,,250,11,4,0.00,,250,11,4,0.00
,500,24,0.01,,250,1,76,0.003539,,250,1,76,0.00,,250,11,4,0.00,,250,11,4,0.00
,500,25,0.00,,250,1,77,0.007369,,250,1,77,0.01,,250,12,1,0.00,,250,12,1,0.00
,500,26,0.01,,250,1,77,0.003689,,250,1,77,0.00,,250,12,1,0.00,,250,12,1,0.00
,500,27,0.01,,250,1,78,0.007538,,250,1,78,0.01,,250,12,2,0.00,,250,12,2,0.00
,500,28,0.01,,250,1,78,0.003586,,250,1,78,0.00,,250,12,2,0.00,,250,12,2,0.01
,500,29,0.01,,250,1,79,0.007729,,250,1,79,0.01,,250,12,3,0.00,,250,12,3,0.00
